market_id,symbol,question,polarity,polarity_source,pct,converged,asset_confidence,question_confidence,archetype,relevance,split,entry_date,entry_prob,entry_price,exit_date,exit_price,exit_reason,peak_pct,trough_pct,return_pct,_entry_ts,_exit_ts,candidate_t_theta,candidate_t_e,_qty,_position_size_pct,_asset_entry_notional,_equity_at_entry,invested_frac_pct,_benchmark_sell_cost,_asset_buy_cost,realized_exit_reason,gross_pnl,pnl,pnl_pct,txn_cost,exit_value,benchmark_rebuy_qty
1099148,C,Will Citigroup (C) beat quarterly earnings?,1,regex,0.945,NO,6.0,6.0,Citigroup Earnings,1.0,test,2026-01-05,0.945,123.3,2026-01-09,121.32,poly<0.5277193766613703,0.71,-3.24,-1.61,2026-01-05 00:00:00+00:00,2026-01-09 00:00:00+00:00,2026-01-04,2026-01-14,97,0.12,11960.1,100576.23,11.8916,6.62,6.33,poly<0.5277193766613703,-192.06,-217.8,-1.821,25.74,11768.04,16.9367
1099187,STT,Will State Street (STT) beat quarterly earnings?,1,regex,0.91,NO,6.0,6.0,State Street Earnings,1.0,test,2026-01-05,0.91,133.01,2026-01-12,133.09,poly<0.5277193766613703,1.17,-3.34,0.06,2026-01-05 00:00:00+00:00,2026-01-12 00:00:00+00:00,2026-01-04,2026-01-16,90,0.12,11970.9,100549.87,11.9054,6.69,6.34,poly<0.5277193766613703,7.2,-18.83,-0.1573,26.03,11978.1,17.212
1099134,BAC,Will Bank of America (BAC) beat quarterly earnings?,1,regex,0.93,YES,7.0,7.0,Bank of America Earnings,1.0,test,2026-01-05,0.93,56.89,2026-01-13,54.54,resolution-1d,0.91,-4.55,-4.13,2026-01-05 00:00:00+00:00,2026-01-13 00:00:00+00:00,2026-01-04,2026-01-14,211,0.12,12003.79,100563.28,11.9366,6.67,6.74,resolution-1d,-495.85,-522.17,-4.35,26.32,11507.94,16.5689
1099135,WFC,Will Wells Fargo & Co (WFC) beat quarterly earnings?,1,regex,0.925,NO,7.0,7.0,Wells Fargo Earnings,1.0,test,2026-01-05,0.925,96.38,2026-01-13,93.56,poly<0.5277193766613703,0.2,-3.44,-2.93,2026-01-05 00:00:00+00:00,2026-01-13 00:00:00+00:00,2026-01-04,2026-01-14,125,0.12,12047.5,100536.84,11.9832,6.67,6.46,poly<0.5277193766613703,-352.5,-378.43,-3.1412,25.93,11695.0,16.8387
1114909,TSM,Will Taiwan Semiconductor (TSM) beat quarterly earnings?,1,regex,0.94,YES,7.0,7.0,Taiwan Semiconductor Earnings,1.0,test,2026-01-05,0.94,322.25,2026-01-13,331.92,profit_lock_3%,3.51,-1.9,3.0,2026-01-05 00:00:00+00:00,2026-01-13 00:00:00+00:00,2026-01-05,2026-01-15,16,0.12,5156.0,100510.95,5.1298,2.85,2.93,profit_lock_3%,154.72,142.78,2.7693,11.94,5310.72,7.646
1099149,MS,Will Morgan Stanley (MS) beat quarterly earnings?,1,regex,0.905,YES,7.0,7.0,Morgan Stanley Earnings,1.0,test,2026-01-05,0.905,186.54,2026-01-14,180.78,resolution-1d,1.22,-4.08,-3.09,2026-01-05 00:00:00+00:00,2026-01-14 00:00:00+00:00,2026-01-04,2026-01-15,64,0.12,11938.56,100615.19,11.8656,6.72,6.32,resolution-1d,-368.64,-394.27,-3.3025,25.63,11569.92,16.741
1099181,GS,Will Goldman Sachs (GS) beat quarterly earnings?,1,regex,0.94,YES,7.0,7.0,Goldman Sachs Earnings,1.0,test,2026-01-05,0.94,948.44,2026-01-14,932.67,resolution-1d,1.07,-3.78,-1.66,2026-01-05 00:00:00+00:00,2026-01-14 00:00:00+00:00,2026-01-04,2026-01-15,12,0.12,11381.28,100523.7,11.322,6.71,6.04,resolution-1d,-189.24,-214.19,-1.8819,24.95,11192.04,16.1942
1118155,IBKR,Will Interactive Brokers (IBKR) beat quarterly earnings?,1,regex,0.84,YES,6.0,6.0,Interactive Brokers Earnings,1.0,test,2026-01-06,0.84,72.88,2026-01-14,71.35,poly<0.5277193766613703,0.0,-4.87,-2.1,2026-01-06 00:00:00+00:00,2026-01-14 00:00:00+00:00,2026-01-06,2026-01-20,3,0.12,218.64,101098.68,0.2163,0.48,0.46,poly<0.5277193766613703,-4.59,-6.45,-2.9498,1.86,214.05,0.3087
1099457,MTB,Will M&T Bank (MTB) beat quarterly earnings?,1,regex,0.85,YES,6.0,6.0,M&T Bank Earnings,1.0,test,2026-01-05,0.85,209.45,2026-01-15,212.57,resolution-1d,2.88,-2.69,1.49,2026-01-05 00:00:00+00:00,2026-01-15 00:00:00+00:00,2026-01-04,2026-01-16,57,0.12,11938.65,100602.15,11.8672,6.66,6.32,resolution-1d,177.84,151.71,1.2708,26.13,12116.49,17.4843
1099182,PNC,Will PNC Financial Services (PNC) beat quarterly earnings?,1,regex,0.9,YES,6.0,6.0,PNC Financial Services Earnings,1.0,test,2026-01-05,0.9,215.8,2026-01-15,215.04,resolution-1d,2.2,-2.91,-0.35,2026-01-05 00:00:00+00:00,2026-01-15 00:00:00+00:00,2026-01-04,2026-01-16,55,0.12,11869.0,100589.17,11.7995,6.66,6.28,resolution-1d,-41.8,-67.59,-0.5695,25.79,11827.2,17.0668
